,gene,correlation,pvalue
0,ADAR_cgas,0.17120732484413828,9.140221667226104e-05
1,AIM2_cgas,0.15418241840804925,0.00043429225762568627
2,CASP1_cgas,-0.15872406075275944,0.0002909038114344371
3,CCL4_cgas,0.2472095819448615,1.2265217244136065e-08
4,CCL5_cgas,0.11889802562736752,0.006799192498166427
5,CGAS_cgas,0.5503757579462676,2.815634317773563e-42
6,CXCL10_cgas,0.3692449960142312,3.813940257782605e-18
7,DDX58_cgas,0.11410481276884046,0.009412973541026192
8,IFNA2_cgas,0.13131417426422615,0.0027760133442797
9,IFNB1_cgas,0.25153911097358106,6.668860647176069e-09
10,IKBKE_cgas,0.03652574607547393,0.40723152010869423
11,IKBKG_cgas,0.0482652402494065,0.27333288455132476
12,IL18_cgas,-0.007186215498931976,0.8705151744776659
13,IL1B_cgas,0.10294843768371724,0.019213529494167218
14,IL33_cgas,-0.5113921410309337,8.544072407463562e-36
15,IL6_cgas,0.20002078908560847,4.575003295817416e-06
16,IRF3_cgas,-0.043934614939068174,0.3187486475710645
17,IRF7_cgas,0.004588535019014979,0.9171055113663361
18,MAVS_cgas,-0.10941068239435384,0.012803263356039719
19,NFKB1_cgas,-0.26188542591313496,1.4841389974865006e-09
20,NFKBIB_cgas,0.17924255826284524,4.150669548136344e-05
21,POLR3A_cgas,0.2640904236648917,1.068264867072861e-09
22,PYCARD_cgas,-0.06836092214617696,0.12056181534433327
23,RELA_cgas,0.09871715537227659,0.0247908281835093
24,RIPK1_cgas,-0.14047742647445763,0.0013634163411298278
25,RIPK3_cgas,-0.28150801282914095,7.144251217990633e-11
26,SPTB_cgas,-0.022742600178439657,0.605904706611389
27,TBK1_cgas,0.34702932303130224,4.459014903929315e-16
28,TMEM173_cgas,-0.5863588515740915,4.571461193165704e-49
29,TREX1_cgas,-0.1283647909734032,0.003458409112587345
30,ZBP1_cgas,0.05086813102646848,0.24826699882276826
31,cgas,0.09397830328062885,0.03264664782346923
